CODI_DISTRICTE;NOM_DISTRICTE;CODI_BARRI;NOM_BARRI;NOM_BARRI_EXTENDED;LATITUD;LONGITUD;;;;;;;;;;;;;;;;
9;Sant Andreu;58;Baró de Viver;58. Baró de Viver; 41.4440989; 2.19784;;;;;;;;;;;;;;;;
9;Sant Andreu;59;el Bon Pastor;59. el Bon Pastor; 41.4365208; 2.19978;;;;;;;;;;;;;;;;
9;Sant Andreu;60;Sant Andreu;60. Sant Andreu; 41.4336754; 2.18579;;;;;;;;;;;;;;;;
9;Sant Andreu;61;la Sagrera;61. la Sagrera; 41.3808941; 2.18938;;;;;;;;;;;;;;;;
9;Sant Andreu;62;el Congrés i els Indians;62. el Congrés i els Indians; 41.4244117; 2.18064;;;;;;;;;;;;;;;;
9;Sant Andreu;63;Navas;63. Navas; 41.3808941; 2.18938;;;;;;;;;;;;;;;;
10;Sant Martí;64;el Camp de l'Arpa del Clot;64. el Camp de l'Arpa del Clot; 41.4118532; 2.18309;;;;;;;;;;;;;;;;
10;Sant Martí;65;el Clot;65. el Clot; 41.4097037; 2.18923;;;;;;;;;;;;;;;;
10;Sant Martí;66;el Parc i la Llacuna del Poblenou;66. el Parc i la Llacuna del Poblenou; 41.3991986; 2.19047;;;;;;;;;;;;;;;;
10;Sant Martí;67;la Vila Olímpica del Poblenou;67. la Vila Olímpica del Poblenou; 41.3915949; 2.19538;;;;;;;;;;;;;;;;
10;Sant Martí;68;el Poblenou;68. el Poblenou; 41.3977365; 2.20153;;;;;;;;;;;;;;;;
10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;69. Diagonal Mar i el Front Marítim del Poblenou; 41.4074666; 2.21628;;;;;;;;;;;;;;;;
10;Sant Martí;70;el Besòs i el Maresme;70. el Besòs i el Maresme; 41.413747; 2.21505;;;;;;;;;;;;;;;;
10;Sant Martí;71;Provençals del Poblenou;71. Provençals del Poblenou; 41.4114796; 2.20276;;;;;;;;;;;;;;;;
10;Sant Martí;72;Sant Martí de Provençals;72. Sant Martí de Provençals; 41.4165785; 2.19784;;;;;;;;;;;;;;;;
10;Sant Martí;73;la Verneda i la Pau;73. la Verneda i la Pau; 41.4239916; 2.20276;;;;;;;;;;;;;;;;
